2021-09-19 08:59:08,277 - walk - INFO - (sp mode) 第 95 号筛选条件(类别2), 条件范围(09:28:49~09:28:52), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,304 - walk - INFO - (sp mode) 第 97 号筛选条件(类别2), 条件范围(09:29:19~09:29:23), 耗时 0.02 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,319 - walk - INFO - (sp mode) 第 99 号筛选条件(类别2), 条件范围(09:29:27~09:29:30), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,346 - walk - INFO - (sp mode) 第 105 号筛选条件(类别2), 条件范围(09:31:25~09:31:34), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,356 - walk - INFO - (sp mode) 第 107 号筛选条件(类别2), 条件范围(09:31:47~09:31:48), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,366 - walk - INFO - (sp mode) 第 109 号筛选条件(类别2), 条件范围(09:32:06~09:32:08), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,388 - walk - INFO - (sp mode) 第 113 号筛选条件(类别2), 条件范围(09:32:43~09:32:45), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,429 - walk - INFO - (sp mode) 第 119 号筛选条件(类别2), 条件范围(09:39:31~09:39:39), 耗时 0.01 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,454 - walk - INFO - (sp mode) 第 124 号筛选条件(类别2), 条件范围(09:41:32~09:41:34), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,476 - walk - INFO - (sp mode) 第 126 号筛选条件(类别2), 条件范围(09:41:40~09:41:48), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,489 - walk - INFO - (sp mode) 第 128 号筛选条件(类别2), 条件范围(09:42:03~09:42:05), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,505 - walk - INFO - (sp mode) 第 131 号筛选条件(类别2), 条件范围(09:44:07~09:44:09), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,515 - walk - INFO - (sp mode) 第 133 号筛选条件(类别2), 条件范围(09:44:45~09:44:46), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,525 - walk - INFO - (sp mode) 第 135 号筛选条件(类别2), 条件范围(09:47:48~09:47:51), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,534 - walk - INFO - (sp mode) 第 137 号筛选条件(类别2), 条件范围(09:48:58~09:48:59), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,539 - walk - INFO - (sp mode) 第 138 号筛选条件(类别2), 条件范围(09:49:02~09:49:05), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,547 - walk - INFO - (sp mode) 第 140 号筛选条件(类别2), 条件范围(09:51:03~09:51:17), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,557 - walk - INFO - (sp mode) 第 142 号筛选条件(类别2), 条件范围(09:51:49~09:51:52), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,587 - walk - INFO - (sp mode) 第 146 号筛选条件(类别2), 条件范围(09:52:25~09:52:29), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,617 - walk - INFO - (sp mode) 第 148 号筛选条件(类别2), 条件范围(09:54:26~09:54:27), 耗时 0.02 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,636 - walk - INFO - (sp mode) 第 150 号筛选条件(类别2), 条件范围(09:54:35~09:54:38), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,662 - walk - INFO - (sp mode) 第 153 号筛选条件(类别2), 条件范围(09:57:24~09:57:27), 耗时 0.0 秒, 筛选结果为 0 条数据
