2021-09-19 08:59:08,118 - static - INFO - (sp mode) 第 66 号筛选条件(类别1), 条件范围(09:17:31~09:17:32), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,123 - static - INFO - (sp mode) 第 67 号筛选条件(类别1), 条件范围(09:17:35~09:18:04), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,129 - static - INFO - (sp mode) 第 68 号筛选条件(类别1), 条件范围(09:18:08~09:18:14), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,141 - static - INFO - (sp mode) 第 71 号筛选条件(类别1), 条件范围(09:19:09~09:19:13), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,153 - static - INFO - (sp mode) 第 74 号筛选条件(类别1), 条件范围(09:19:54~09:20:02), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,167 - static - INFO - (sp mode) 第 77 号筛选条件(类别1), 条件范围(09:20:45~09:20:56), 耗时 0.01 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,179 - static - INFO - (sp mode) 第 79 号筛选条件(类别1), 条件范围(09:20:59~09:21:07), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,192 - static - INFO - (sp mode) 第 82 号筛选条件(类别1), 条件范围(09:21:37~09:21:50), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,203 - static - INFO - (sp mode) 第 84 号筛选条件(类别1), 条件范围(09:21:55~09:24:47), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,222 - static - INFO - (sp mode) 第 86 号筛选条件(类别1), 条件范围(09:24:52~09:24:59), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,235 - static - INFO - (sp mode) 第 88 号筛选条件(类别1), 条件范围(09:25:05~09:25:28), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,249 - static - INFO - (sp mode) 第 90 号筛选条件(类别1), 条件范围(09:25:37~09:25:50), 耗时 0.01 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,261 - static - INFO - (sp mode) 第 92 号筛选条件(类别1), 条件范围(09:25:54~09:26:06), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,267 - static - INFO - (sp mode) 第 93 号筛选条件(类别1), 条件范围(09:26:08~09:27:05), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,272 - static - INFO - (sp mode) 第 94 号筛选条件(类别1), 条件范围(09:27:09~09:28:48), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,281 - static - INFO - (sp mode) 第 96 号筛选条件(类别1), 条件范围(09:28:53~09:29:18), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,310 - static - INFO - (sp mode) 第 98 号筛选条件(类别1), 条件范围(09:29:24~09:29:26), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,330 - static - INFO - (sp mode) 第 102 号筛选条件(类别1), 条件范围(09:30:51~09:31:06), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,341 - static - INFO - (sp mode) 第 104 号筛选条件(类别1), 条件范围(09:31:23~09:31:24), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,351 - static - INFO - (sp mode) 第 106 号筛选条件(类别1), 条件范围(09:31:35~09:31:46), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,361 - static - INFO - (sp mode) 第 108 号筛选条件(类别1), 条件范围(09:31:50~09:32:04), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,371 - static - INFO - (sp mode) 第 110 号筛选条件(类别1), 条件范围(09:32:09~09:32:17), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,377 - static - INFO - (sp mode) 第 111 号筛选条件(类别1), 条件范围(09:32:18~09:32:36), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,382 - static - INFO - (sp mode) 第 112 号筛选条件(类别1), 条件范围(09:32:38~09:32:42), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,393 - static - INFO - (sp mode) 第 114 号筛选条件(类别1), 条件范围(09:32:46~09:33:20), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,398 - static - INFO - (sp mode) 第 115 号筛选条件(类别1), 条件范围(09:33:21~09:33:27), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,408 - static - INFO - (sp mode) 第 116 号筛选条件(类别1), 条件范围(09:33:31~09:33:47), 耗时 0.01 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,416 - static - INFO - (sp mode) 第 117 号筛选条件(类别1), 条件范围(09:33:50~09:38:06), 耗时 0.01 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,421 - static - INFO - (sp mode) 第 118 号筛选条件(类别1), 条件范围(09:38:08~09:39:29), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,441 - static - INFO - (sp mode) 第 121 号筛选条件(类别1), 条件范围(09:39:52~09:39:59), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,460 - static - INFO - (sp mode) 第 125 号筛选条件(类别1), 条件范围(09:41:37~09:41:38), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,484 - static - INFO - (sp mode) 第 127 号筛选条件(类别1), 条件范围(09:41:49~09:42:02), 耗时 0.01 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,495 - static - INFO - (sp mode) 第 129 号筛选条件(类别1), 条件范围(09:42:07~09:42:53), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,500 - static - INFO - (sp mode) 第 130 号筛选条件(类别1), 条件范围(09:43:10~09:44:06), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,510 - static - INFO - (sp mode) 第 132 号筛选条件(类别1), 条件范围(09:44:10~09:44:44), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,520 - static - INFO - (sp mode) 第 134 号筛选条件(类别1), 条件范围(09:44:47~09:47:47), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,529 - static - INFO - (sp mode) 第 136 号筛选条件(类别1), 条件范围(09:47:52~09:48:57), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,552 - static - INFO - (sp mode) 第 141 号筛选条件(类别1), 条件范围(09:51:19~09:51:47), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,562 - static - INFO - (sp mode) 第 143 号筛选条件(类别1), 条件范围(09:51:56~09:52:05), 耗时 0.0 秒, 筛选结果为 0 条数据
