2021-09-18 22:45:40,301 - static - INFO - 
2021-09-18 22:51:15,413 - static - INFO - 
2021-09-18 22:52:41,252 - static - INFO - 
2021-09-18 22:53:07,489 - static - INFO - 
2021-09-18 22:55:07,343 - static - INFO - (sp mode) 第 454 号筛选条件(类别1), 条件范围(13:58:24~13:58:39), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,345 - static - INFO - (sp mode) 第 455 号筛选条件(类别1), 条件范围(13:58:43~13:59:08), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,349 - static - INFO - (sp mode) 第 457 号筛选条件(类别1), 条件范围(13:59:13~13:59:25), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,351 - static - INFO - (sp mode) 第 458 号筛选条件(类别1), 条件范围(13:59:29~14:00:13), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,355 - static - INFO - (sp mode) 第 460 号筛选条件(类别1), 条件范围(14:00:18~14:00:41), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,361 - static - INFO - (sp mode) 第 463 号筛选条件(类别1), 条件范围(14:00:57~14:00:59), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,363 - static - INFO - (sp mode) 第 465 号筛选条件(类别1), 条件范围(14:03:58~14:04:19), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,367 - static - INFO - (sp mode) 第 468 号筛选条件(类别1), 条件范围(14:05:11~14:05:44), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,371 - static - INFO - (sp mode) 第 470 号筛选条件(类别1), 条件范围(14:05:49~14:06:04), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,375 - static - INFO - (sp mode) 第 472 号筛选条件(类别1), 条件范围(14:06:11~14:06:34), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,378 - static - INFO - (sp mode) 第 473 号筛选条件(类别1), 条件范围(14:06:38~14:07:18), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,382 - static - INFO - (sp mode) 第 475 号筛选条件(类别1), 条件范围(14:07:29~14:08:41), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,388 - static - INFO - (sp mode) 第 478 号筛选条件(类别1), 条件范围(14:08:54~14:09:16), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,390 - static - INFO - (sp mode) 第 479 号筛选条件(类别1), 条件范围(14:10:19~14:11:26), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,394 - static - INFO - (sp mode) 第 481 号筛选条件(类别1), 条件范围(14:11:32~14:12:04), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,398 - static - INFO - (sp mode) 第 483 号筛选条件(类别1), 条件范围(14:12:15~14:12:52), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,401 - static - INFO - (sp mode) 第 485 号筛选条件(类别1), 条件范围(14:12:59~14:13:46), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,405 - static - INFO - (sp mode) 第 487 号筛选条件(类别1), 条件范围(14:13:53~14:13:55), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,406 - static - INFO - (sp mode) 第 488 号筛选条件(类别1), 条件范围(14:13:58~14:16:35), 耗时 0.0 秒, 筛选结果为 0 条数据
