2021-09-18 22:45:40,301 - log - INFO - 
2021-09-18 22:51:15,412 - log - INFO - 
2021-09-18 22:52:41,249 - log - INFO - 
2021-09-18 22:53:07,488 - log - INFO - 
2021-09-18 22:55:07,280 - log - INFO - (sp mode) 第 426 号筛选条件(类别2, 条件范围(13:43:52~13:43:53)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,282 - log - INFO - (sp mode) 第 427 号筛选条件(类别1, 条件范围(13:43:54~13:44:18)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,284 - log - INFO - (sp mode) 第 428 号筛选条件(类别2, 条件范围(13:44:19~13:44:21)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,287 - log - INFO - (sp mode) 第 429 号筛选条件(类别1, 条件范围(13:44:22~13:44:24)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,289 - log - INFO - (sp mode) 第 430 号筛选条件(类别2, 条件范围(13:44:25~13:44:27)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,291 - log - INFO - (sp mode) 第 431 号筛选条件(类别1, 条件范围(13:44:28~13:44:56)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,293 - log - INFO - (sp mode) 第 432 号筛选条件(类别2, 条件范围(13:44:57~13:45:00)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,295 - log - INFO - (sp mode) 第 433 号筛选条件(类别3, 条件范围(13:45:01~13:45:03)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,297 - log - INFO - (sp mode) 第 434 号筛选条件(类别1, 条件范围(13:45:04~13:45:47)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,299 - log - INFO - (sp mode) 第 435 号筛选条件(类别2, 条件范围(13:45:49~13:45:51)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,301 - log - INFO - (sp mode) 第 436 号筛选条件(类别1, 条件范围(13:45:52~13:46:11)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,304 - log - INFO - (sp mode) 第 437 号筛选条件(类别2, 条件范围(13:46:12~13:46:15)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,306 - log - INFO - (sp mode) 第 438 号筛选条件(类别1, 条件范围(13:46:16~13:46:41)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,308 - log - INFO - (sp mode) 第 439 号筛选条件(类别2, 条件范围(13:46:42~13:46:45)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,310 - log - INFO - (sp mode) 第 440 号筛选条件(类别1, 条件范围(13:46:46~13:47:49)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,312 - log - INFO - (sp mode) 第 441 号筛选条件(类别2, 条件范围(13:47:51~13:47:54)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,314 - log - INFO - (sp mode) 第 442 号筛选条件(类别1, 条件范围(13:47:55~13:48:39)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,317 - log - INFO - (sp mode) 第 443 号筛选条件(类别2, 条件范围(13:48:41~13:48:43)), 耗时 0.0 秒, 筛选结果为 0 条数据
